slug,source_C_live,source_C_last_snapshot_date,source_C_snapshot_body_len,source_C_timestamp
crouton,False,2025-03-29 00:00:00+00:00,213.0,2026-04-24T22:49:31.031677+00:00
rulebase,True,2026-03-10 00:00:00+00:00,211.0,2026-04-24T22:49:31.031963+00:00
afternoon-co,True,2026-03-14 00:00:00+00:00,213.0,2026-04-24T22:49:31.031992+00:00
riveter-ai,,,63.0,2026-04-24T22:49:31.030968+00:00
durate,,,60.0,2026-04-24T22:49:31.031708+00:00
telli,,,107.0,2026-04-24T22:49:31.031509+00:00
variant,,,107.0,2026-04-24T22:49:31.030491+00:00
streamable,,,107.0,2026-04-24T22:49:31.031648+00:00
galini,,,107.0,2026-04-24T22:49:31.031000+00:00
getcho,,,107.0,2026-04-24T22:49:31.031831+00:00
gait,,,107.0,2026-04-24T22:49:31.031735+00:00
candle,True,2026-03-12 00:00:00+00:00,220.0,2026-04-24T22:49:31.031796+00:00
openfunnel,True,2026-02-14 00:00:00+00:00,213.0,2026-04-24T22:49:31.031897+00:00
clarus,,,63.0,2026-04-24T22:49:31.030676+00:00
raycaster,,,57.0,2026-04-24T22:49:37.499850+00:00
symphony,,,59.0,2026-04-24T22:49:31.031543+00:00
healthspark,,,68.0,2026-04-24T22:49:31.031937+00:00
avora,,,60.0,2026-04-24T22:49:31.031456+00:00
lightscreen-ai,,,59.0,2026-04-24T22:49:37.499778+00:00
darkgrade,,,58.0,2026-04-24T22:49:31.031864+00:00
zeroframe,,,57.0,2026-04-24T22:49:31.030717+00:00
moonset-health,,,67.0,2026-04-24T22:49:31.031771+00:00
vortexifyai,,,107.0,2026-04-24T22:49:41.488052+00:00
vespper,,,84.0,2026-04-24T22:49:43.143729+00:00
astrix-health,,,66.0,2026-04-24T22:49:43.264573+00:00
sandra-ai,,,62.0,2026-04-24T22:49:43.156849+00:00
supercontrast,,,63.0,2026-04-24T22:49:38.241937+00:00
archil,,,107.0,2026-04-24T22:49:43.198614+00:00
cosmic-new,,,107.0,2026-04-24T22:49:43.218362+00:00
reticular,,,57.0,2026-04-24T22:49:46.191094+00:00
revyl,True,2025-12-09 00:00:00+00:00,205.0,2026-04-24T22:49:41.429844+00:00
issen,,,54.0,2026-04-24T22:49:47.629244+00:00
luthor,,,54.0,2026-04-24T22:49:47.945907+00:00
keye,,,56.0,2026-04-24T22:49:47.937285+00:00
lingodotdev,,,54.0,2026-04-24T22:49:48.061318+00:00
smooth,,,107.0,2026-04-24T22:49:46.701462+00:00
cekura-ai,,,59.0,2026-04-24T22:49:43.217886+00:00
revisiondojo,,,61.0,2026-04-24T22:49:47.641813+00:00
ctgt,True,2026-03-29 00:00:00+00:00,208.0,2026-04-24T22:49:47.804237+00:00
karmen,,,61.0,2026-04-24T22:49:53.348861+00:00
hybrd,,,59.0,2026-04-24T22:49:53.894632+00:00
withcharm,,,58.0,2026-04-24T22:49:53.948460+00:00
riskcube,,,57.0,2026-04-24T22:49:47.809602+00:00
attimet,,,57.0,2026-04-24T22:49:47.583858+00:00
sphinx,,,58.0,2026-04-24T22:49:47.953942+00:00
unusual,,,55.0,2026-04-24T22:49:55.471635+00:00
stewdio,,,59.0,2026-04-24T22:49:56.053757+00:00
pearson-labs,,,62.0,2026-04-24T22:49:56.479725+00:00
vly-ai-2,,,51.0,2026-04-24T22:49:56.589907+00:00
autocomputer,,,65.0,2026-04-24T22:49:58.251623+00:00
moonshine,,,61.0,2026-04-24T22:49:58.417775+00:00
dexter,,,62.0,2026-04-24T22:49:58.802695+00:00
permitportal,True,2026-02-10 00:00:00+00:00,224.0,2026-04-24T22:50:02.904821+00:00
gecko-security,True,2026-03-09 00:00:00+00:00,217.0,2026-04-24T22:50:02.846217+00:00
codebuff,,,57.0,2026-04-24T22:49:53.817571+00:00
curo,,,66.0,2026-04-24T22:50:01.331233+00:00
platus,,,59.0,2026-04-24T22:49:56.038189+00:00
tiny,,,56.0,2026-04-24T22:49:57.870886+00:00
origami-2,,,58.0,2026-04-24T22:50:04.259900+00:00
collectwise,,,61.0,2026-04-24T22:50:04.409588+00:00
innate,,,55.0,2026-04-24T22:50:04.909293+00:00
capy,,,52.0,2026-04-24T22:50:04.888530+00:00
crustdata,,,58.0,2026-04-24T22:49:58.227414+00:00
consus,,,58.0,2026-04-24T22:50:04.690996+00:00
alex,,,58.0,2026-04-24T22:50:06.385733+00:00
browserbook,,,64.0,2026-04-24T22:50:06.952680+00:00
metreecs,True,2026-02-22 00:00:00+00:00,217.0,2026-04-24T22:50:08.626952+00:00
sunset,,,65.0,2026-04-24T22:50:09.615400+00:00
fresco,,,59.0,2026-04-24T22:50:03.761925+00:00
revi,,,107.0,2026-04-24T22:50:08.745600+00:00
archilabs,,,107.0,2026-04-24T22:50:09.094729+00:00
edgedive,,,107.0,2026-04-24T22:50:10.510424+00:00
ryvn,True,2026-03-08 00:00:00+00:00,199.0,2026-04-24T22:50:15.091586+00:00
gander,True,2025-12-01 00:00:00+00:00,211.0,2026-04-24T22:50:06.176758+00:00
futureclinic,,,107.0,2026-04-24T22:50:11.661847+00:00
diffusion-studio,,,62.0,2026-04-24T22:50:06.977572+00:00
vaya,,,56.0,2026-04-24T22:50:14.857338+00:00
x1,,,55.0,2026-04-24T22:50:14.767705+00:00
melder,,,54.0,2026-04-24T22:50:14.920173+00:00
friday,,,58.0,2026-04-24T22:50:15.272853+00:00
sre-ai,,,51.0,2026-04-24T22:50:15.110504+00:00
relvy-ai,,,57.0,2026-04-24T22:50:16.091021+00:00
surge,,,54.0,2026-04-24T22:50:09.963251+00:00
ember,,,64.0,2026-04-24T22:50:16.975673+00:00
canvas,,,60.0,2026-04-24T22:50:17.484035+00:00
forerunner-ai,,,62.0,2026-04-24T22:50:12.773785+00:00
loombotic,True,2025-12-15 00:00:00+00:00,215.0,2026-04-24T22:50:20.650375+00:00
roundabout-technologies,,,60.0,2026-04-24T22:50:20.614921+00:00
synth-3,,,60.0,2026-04-24T22:50:20.013019+00:00
asha-health,True,2025-11-29 00:00:00+00:00,211.0,2026-04-24T22:50:22.772785+00:00
parametric,True,2026-03-14 00:00:00+00:00,226.0,2026-04-24T22:50:25.556279+00:00
apolink,,,58.0,2026-04-24T22:50:22.695264+00:00
openbuilder,,,64.0,2026-04-24T22:50:23.006953+00:00
careforce,,,58.0,2026-04-24T22:50:18.155117+00:00
fifth-door,,,58.0,2026-04-24T22:50:25.143730+00:00
autonomous-technologies-group,,,66.0,2026-04-24T22:50:25.195788+00:00
null-labs,,,55.0,2026-04-24T22:50:25.619408+00:00
nori,,,52.0,2026-04-24T22:50:26.239164+00:00
prox,,,107.0,2026-04-24T22:50:25.215058+00:00
humanlayer,,,59.0,2026-04-24T22:50:21.064119+00:00
mixy,,,56.0,2026-04-24T22:50:27.529429+00:00
remedy,True,2026-03-09 00:00:00+00:00,216.0,2026-04-24T22:50:31.280492+00:00
digipals,,,62.0,2026-04-24T22:50:28.014573+00:00
efference,,,57.0,2026-04-24T22:50:29.856042+00:00
goldbridge,,,71.0,2026-04-24T22:50:23.792432+00:00
lapis,,,62.0,2026-04-24T22:50:29.934008+00:00
piggy-robotics,,,62.0,2026-04-24T22:50:24.087496+00:00
uplane,True,2026-03-08 00:00:00+00:00,205.0,2026-04-24T22:50:33.210156+00:00
semiotic,,,56.0,2026-04-24T22:50:31.169008+00:00
brickanta,,,62.0,2026-04-24T22:50:31.329016+00:00
aircaps,,,56.0,2026-04-24T22:50:32.997873+00:00
fernstone,,,62.0,2026-04-24T22:50:26.820369+00:00
parse-bot,,,54.0,2026-04-24T22:50:34.953518+00:00
parrot,,,59.0,2026-04-24T22:50:35.678231+00:00
movedot,,,60.0,2026-04-24T22:50:36.050110+00:00
zavo,,,56.0,2026-04-24T22:50:36.614504+00:00
sylvian,,,107.0,2026-04-24T22:50:37.091252+00:00
bolna-ai,,,107.0,2026-04-24T22:50:38.296202+00:00
structured-ai,,,66.0,2026-04-24T22:50:33.429716+00:00
deeptrace,,,59.0,2026-04-24T22:50:40.337983+00:00
aspect-inc,,,55.0,2026-04-24T22:50:40.211340+00:00
alt-x,,,53.0,2026-04-24T22:50:41.103575+00:00
sorce,,,55.0,2026-04-24T22:50:41.519518+00:00
the-context-company,,,63.0,2026-04-24T22:50:41.718340+00:00
brickwise,,,64.0,2026-04-24T22:50:35.605465+00:00
caddy,,,107.0,2026-04-24T22:50:41.300999+00:00
lunavo,,,54.0,2026-04-24T22:50:43.682925+00:00
dari,,,56.0,2026-04-24T22:50:43.666669+00:00
hyperspell,,,59.0,2026-04-24T22:50:38.311209+00:00
scoop,,,57.0,2026-04-24T22:50:38.421145+00:00
gpt,,,56.0,2026-04-24T22:50:38.295171+00:00
norra,,,57.0,2026-04-24T22:50:45.424406+00:00
kaigo-health,,,64.0,2026-04-24T22:50:46.144140+00:00
koyal,,,53.0,2026-04-24T22:50:46.361973+00:00
veria-labs,True,2026-03-21 00:00:00+00:00,211.0,2026-04-24T22:50:50.218119+00:00
locus,,,61.0,2026-04-24T22:50:40.536631+00:00
playvision,,,107.0,2026-04-24T22:50:47.018698+00:00
questom,,,59.0,2026-04-24T22:50:50.272086+00:00
hypercubic,,,63.0,2026-04-24T22:50:50.724349+00:00
cranston-ai,,,64.0,2026-04-24T22:50:50.654603+00:00
nessie,,,60.0,2026-04-24T22:50:51.358075+00:00
lakonia,True,2026-02-16 00:00:00+00:00,217.0,2026-04-24T22:50:55.406880+00:00
wardstone,,,107.0,2026-04-24T22:50:51.855048+00:00
