slug,source_A_live,source_B_live,source_C_live,shuttered_v2,shuttered_v2_confidence,sources_n_live,sources_n_dead,sources_n_null
variant,False,True,,ambiguous,none,1,1,1
clarus,True,True,,live,low,2,0,1
zeroframe,True,False,,ambiguous,none,1,1,1
riveter-ai,True,True,,live,low,2,0,1
galini,False,True,,ambiguous,none,1,1,1
avora,True,True,,live,low,2,0,1
telli,True,True,,live,low,2,0,1
symphony,True,True,,live,low,2,0,1
streamable,True,True,,live,low,2,0,1
crouton,False,True,False,shuttered,low,1,2,0
durate,True,True,,live,low,2,0,1
gait,,False,,no_label,none,0,1,2
moonset-health,True,True,,live,low,2,0,1
candle,True,True,True,live,high,3,0,0
getcho,True,True,,live,low,2,0,1
darkgrade,False,True,,ambiguous,none,1,1,1
openfunnel,True,True,True,live,high,3,0,0
healthspark,True,True,,live,low,2,0,1
rulebase,True,True,True,live,high,3,0,0
afternoon-co,True,True,True,live,high,3,0,0
lightscreen-ai,True,True,,live,low,2,0,1
raycaster,True,True,,live,low,2,0,1
supercontrast,False,False,,shuttered,low,0,2,1
revyl,True,True,True,live,high,3,0,0
vortexifyai,True,True,,live,low,2,0,1
vespper,True,True,,live,low,2,0,1
sandra-ai,False,True,,ambiguous,none,1,1,1
archil,False,True,,ambiguous,none,1,1,1
cekura-ai,True,True,,live,low,2,0,1
cosmic-new,False,True,,ambiguous,none,1,1,1
astrix-health,True,True,,live,low,2,0,1
reticular,True,True,,live,low,2,0,1
smooth,True,True,,live,low,2,0,1
attimet,True,True,,live,low,2,0,1
issen,True,True,,live,low,2,0,1
revisiondojo,True,True,,live,low,2,0,1
ctgt,True,True,True,live,high,3,0,0
riskcube,True,True,,live,low,2,0,1
keye,True,True,,live,low,2,0,1
luthor,True,True,,live,low,2,0,1
sphinx,True,True,,live,low,2,0,1
lingodotdev,True,True,,live,low,2,0,1
karmen,True,True,,live,low,2,0,1
codebuff,True,True,,live,low,2,0,1
hybrd,True,True,,live,low,2,0,1
withcharm,False,True,,ambiguous,none,1,1,1
unusual,True,True,,live,low,2,0,1
platus,True,True,,live,low,2,0,1
stewdio,True,True,,live,low,2,0,1
pearson-labs,True,True,,live,low,2,0,1
vly-ai-2,True,True,,live,low,2,0,1
tiny,False,True,,ambiguous,none,1,1,1
crustdata,True,True,,live,low,2,0,1
autocomputer,False,True,,ambiguous,none,1,1,1
moonshine,True,True,,live,low,2,0,1
dexter,True,True,,live,low,2,0,1
curo,True,True,,live,low,2,0,1
gecko-security,True,True,True,live,high,3,0,0
permitportal,True,True,True,live,high,3,0,0
fresco,False,True,,ambiguous,none,1,1,1
origami-2,True,True,,live,low,2,0,1
collectwise,True,True,,live,low,2,0,1
consus,False,True,,ambiguous,none,1,1,1
capy,True,True,,live,low,2,0,1
innate,False,True,,ambiguous,none,1,1,1
gander,False,True,True,live,low,2,1,0
alex,True,True,,live,low,2,0,1
