Task ID,Occupation (O*NET-SOC Title),Task,O*NET-SOC Code,desire_mean,desire_n,capability_mean,capability_n,zone
3226,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",11-2011.00,3.7,10,4.0,4,Green
3242,Advertising and Promotions Managers,Coordinate with the media to disseminate advertising.,11-2011.00,3.0,5,3.3333333333333335,3,Yellow
3223,Advertising and Promotions Managers,Prepare budgets and submit estimates for program costs as part of campaign plan development.,11-2011.00,2.9,10,4.0,3,Red
3243,Advertising and Promotions Managers,Contact organizations to explain services and facilities offered.,11-2011.00,3.1666666666666665,6,2.0,2,Yellow
3233,Advertising and Promotions Managers,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,11-2011.00,3.6666666666666665,6,4.5,2,Green
3234,Advertising and Promotions Managers,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",11-2011.00,3.5,6,2.5,2,Yellow
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,11-3021.00,3.2,10,2.0,2,Yellow
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",11-3021.00,3.5,10,2.0,2,Yellow
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",11-3021.00,3.6,10,3.0,2,Yellow
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,11-3021.00,3.3,10,2.5,2,Yellow
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,11-3021.00,2.7,10,2.5,2,Low-Priority
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,11-3021.00,3.1818181818181817,11,3.5,2,Green
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,11-3021.00,3.6,10,2.0,2,Yellow
974,Computer and Information Systems Managers,Control operational budget and expenditures.,11-3021.00,3.7,10,2.0,2,Yellow
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",11-3021.00,3.0,10,3.5,2,Green
